Test
Time (s) ,CO2 (ppm) ,TVOC (ppb) ,Temperature (C) 
5.54,0,0,25.97
,Test
Time (s) ,CO2 (ppm) ,TVOC (ppb) ,Temperature (C) 
5.41,0,0,25.51
10.48,400,0,26.02
15.55,400,0,26.54
20.62,403,0,26.54
25.69,434,5,27.07
30.76,421,3,27.60
35.83,400,0,27.60
40.90,403,0,27.60
45.97,400,0,28.32
51.04,411,1,28.32
56.11,400,0,28.88
61.19,418,2,28.88
66.33,524,18,28.88
Test
Time (s) ,CO2 (ppm) ,TVOC (ppb) ,Temperature (C) 
5.53,0,0,25.66
Test
Time (s) ,CO2 (ppm) ,TVOC (ppb) ,Temperature (C) 
5.41,0,0,25.00
10.48,400,0,25.52
15.55,403,0,25.52
20.62,400,0,26.04
25.69,400,0,26.58
30.76,400,0,26.58
35.83,411,1,26.58
40.90,400,0,27.30
Test
Time (s) ,CO2 (ppm) ,TVOC (ppb) ,Temperature (C) 
5.53,0,0,25.86
10.60,400,0,26.74
15.67,400,0,27.63
Test
Time (s) ,CO2 (ppm) ,TVOC (ppb) ,Temperature (C) 
5.41,0,0,25.00
10.48,426,3,25.47
15.55,518,17,25.94
20.62,447,7,26.42
25.69,539,21,26.91
30.84,447,7,27.57
35.91,400,0,27.57
40.97,885,73,28.07
46.04,457,8,28.07
51.11,415,2,28.58
56.18,506,16,28.58
61.26,682,42,29.09
66.32,415,2,29.09
71.39,406,0,29.09
76.46,413,1,29.61
81.53,415,2,29.61
86.60,418,2,30.14
91.67,433,5,30.14
96.74,422,3,30.14
Test
Time (s) ,CO2 (ppm) ,TVOC (ppb) ,Temperature (C) 
5.53,0,0,23.20
10.60,400,0,24.02
15.67,400,0,24.02
Test
Time (s) ,CO2 (ppm) ,TVOC (ppb) ,Temperature (C) 
5.41,0,0,25.82
10.48,400,0,25.82
15.55,409,1,25.82
20.62,614,32,25.82
25.69,524,18,25.82
30.76,400,0,25.82
35.83,400,0,25.82
40.90,418,2,25.41
45.97,408,1,25.41
51.04,400,0,25.00
56.11,403,0,25.00
61.18,400,0,24.60
66.25,402,0,24.20
71.32,413,1,24.20
76.39,409,1,24.20
81.46,400,0,24.20
86.53,665,40,24.20
91.60,678,42,24.20
96.67,462,9,24.20
101.74,436,5,24.20
106.81,882,73,23.80
111.88,732,50,23.80
116.95,1077,103,23.28
122.02,872,71,23.28
127.09,1372,148,23.28
132.16,578,27,22.89
137.23,882,73,22.89
142.30,1060,100,22.51
147.37,1060,100,22.51
152.43,776,57,22.13
157.50,863,70,22.13
162.57,1815,215,22.13
167.64,2035,249,22.13
172.71,1984,241,22.13
177.78,2134,264,22.51
182.86,1224,125,22.13
187.93,821,64,22.13
193.00,694,44,22.13
198.07,643,37,21.75
203.14,614,32,21.75
208.21,586,28,21.75
213.28,591,29,21.75
218.35,527,19,21.75
223.42,485,12,21.75
228.49,459,8,21.38
233.56,540,21,21.38
